"X" "CONT" "INTG" "DMNR" "DILG" "CFMG" "DECI" "PREP" "FAMI" "ORAL" "WRIT" "PHYS" "RTEN"
"1" "AARONSON,L.H." 5.7 7.9 7.7 7.3 7.1 7.4 7.1 7.1 7.1 7 8.3 7.8
"2" "ALEXANDER,J.M." 6.8 8.9 8.8 8.5 7.8 8.1 8 8 7.8 7.9 8.5 8.7
"3" "ARMENTANO,A.J." 7.2 8.1 7.8 7.8 7.5 7.6 7.5 7.5 7.3 7.4 7.9 7.8
"4" "BERDON,R.I." 6.8 8.8 8.5 8.8 8.3 8.5 8.7 8.7 8.4 8.5 8.8 8.7
"5" "BRACKEN,J.J." 7.3 6.4 4.3 6.5 6 6.2 5.7 5.7 5.1 5.3 5.5 4.8
"6" "BURNS,E.B." 6.2 8.8 8.7 8.5 7.9 8 8.1 8 8 8 8.6 8.6
"7" "CALLAHAN,R.J." 10.6 9 8.9 8.7 8.5 8.5 8.5 8.5 8.6 8.4 9.1 9
"8" "COHEN,S.S." 7 5.9 4.9 5.1 5.4 5.9 4.8 5.1 4.7 4.9 6.8 5
"9" "DALY,J.J." 7.3 8.9 8.9 8.7 8.6 8.5 8.4 8.4 8.4 8.5 8.8 8.8
"10" "DANNEHY,J.F." 8.2 7.9 6.7 8.1 7.9 8 7.9 8.1 7.7 7.8 8.5 7.9
"11" "DEAN,H.H." 7 8 7.6 7.4 7.3 7.5 7.1 7.2 7.1 7.2 8.4 7.7
"12" "DEVITA,H.J." 6.5 8 7.6 7.2 7 7.1 6.9 7 7 7.1 6.9 7.2
"13" "DRISCOLL,P.J." 6.7 8.6 8.2 6.8 6.9 6.6 7.1 7.3 7.2 7.2 8.1 7.7
"14" "GRILLO,A.E." 7 7.5 6.4 6.8 6.5 7 6.6 6.8 6.3 6.6 6.2 6.5
"15" "HADDEN,W.L.JR." 6.5 8.1 8 8 7.9 8 7.9 7.8 7.8 7.8 8.4 8
"16" "HAMILL,E.C." 7.3 8 7.4 7.7 7.3 7.3 7.3 7.2 7.1 7.2 8 7.6
"17" "HEALEY.A.H." 8 7.6 6.6 7.2 6.5 6.5 6.8 6.7 6.4 6.5 6.9 6.7
"18" "HULL,T.C." 7.7 7.7 6.7 7.5 7.4 7.5 7.1 7.3 7.1 7.3 8.1 7.4
"19" "LEVINE,I." 8.3 8.2 7.4 7.8 7.7 7.7 7.7 7.8 7.5 7.6 8 8
"20" "LEVISTER,R.L." 9.6 6.9 5.7 6.6 6.9 6.6 6.2 6 5.8 5.8 7.2 6
"21" "MARTIN,L.F." 7.1 8.2 7.7 7.1 6.6 6.6 6.7 6.7 6.8 6.8 7.5 7.3
"22" "MCGRATH,J.F." 7.6 7.3 6.9 6.8 6.7 6.8 6.4 6.3 6.3 6.3 7.4 6.6
"23" "MIGNONE,A.F." 6.6 7.4 6.2 6.2 5.4 5.7 5.8 5.9 5.2 5.8 4.7 5.2
"24" "MISSAL,H.M." 6.2 8.3 8.1 7.7 7.4 7.3 7.3 7.3 7.2 7.3 7.8 7.6
"25" "MULVEY,H.M." 7.5 8.7 8.5 8.6 8.5 8.4 8.5 8.5 8.4 8.4 8.7 8.7
"26" "NARUK,H.J." 7.8 8.9 8.7 8.9 8.7 8.8 8.9 9 8.8 8.9 9 9
"27" "O'BRIEN,F.J." 7.1 8.5 8.3 8 7.9 7.9 7.8 7.8 7.8 7.7 8.3 8.2
"28" "O'SULLIVAN,T.J." 7.5 9 8.9 8.7 8.4 8.5 8.4 8.3 8.3 8.3 8.8 8.7
"29" "PASKEY,L." 7.5 8.1 7.7 8.2 8 8.1 8.2 8.4 8 8.1 8.4 8.1
"30" "RUBINOW,J.E." 7.1 9.2 9 9 8.4 8.6 9.1 9.1 8.9 9 8.9 9.2
"31" "SADEN.G.A." 6.6 7.4 6.9 8.4 8 7.9 8.2 8.4 7.7 7.9 8.4 7.5
"32" "SATANIELLO,A.G." 8.4 8 7.9 7.9 7.8 7.8 7.6 7.4 7.4 7.4 8.1 7.9
"33" "SHEA,D.M." 6.9 8.5 7.8 8.5 8.1 8.2 8.4 8.5 8.1 8.3 8.7 8.3
"34" "SHEA,J.F.JR." 7.3 8.9 8.8 8.7 8.4 8.5 8.5 8.5 8.4 8.4 8.8 8.8
"35" "SIDOR,W.J." 7.7 6.2 5.1 5.6 5.6 5.9 5.6 5.6 5.3 5.5 6.3 5.3
"36" "SPEZIALE,J.A." 8.5 8.3 8.1 8.3 8.4 8.2 8.2 8.1 7.9 8 8 8.2
"37" "SPONZO,M.J." 6.9 8.3 8 8.1 7.9 7.9 7.9 7.7 7.6 7.7 8.1 8
"38" "STAPLETON,J.F." 6.5 8.2 7.7 7.8 7.6 7.7 7.7 7.7 7.5 7.6 8.5 7.7
"39" "TESTO,R.J." 8.3 7.3 7 6.8 7 7.1 6.7 6.7 6.7 6.7 8 7
"40" "TIERNEY,W.L.JR." 8.3 8.2 7.8 8.3 8.4 8.3 7.7 7.6 7.5 7.7 8.1 7.9
"41" "WALL,R.A." 9 7 5.9 7 7 7.2 6.9 6.9 6.5 6.6 7.6 6.6
"42" "WRIGHT,D.B." 7.1 8.4 8.4 7.7 7.5 7.7 7.8 8.2 8 8.1 8.3 8.1
"43" "ZARRILLI,K.J." 8.6 7.4 7 7.5 7.5 7.7 7.4 7.2 6.9 7 7.8 7.1
