id,lastName,firstName,court,gender,yearsOnBench,respondents,contacts,integrity,demeanor,dilligence,caseMgmt,promptDecisions,preparedness,familiarityWithLaw,oralRulings,writtenRulings,physicalAbility,retentionScore
1,Aaronson,Lester,superior,m,15.0,353.0,5.7,7.9,7.7,7.3,7.1,7.4,7.1,7.1,7.1,7.0,8.3,7.8
2,Alexander,John,superior,m,15.0,376.0,6.8,8.9,8.8,8.5,7.8,8.1,8.0,8.0,7.8,7.9,8.5,8.7
3,Armentano,Anthony,superior,m,13.0,326.0,7.2,8.1,7.8,7.8,7.5,7.6,7.5,7.5,7.3,7.4,7.9,7.8
4,Berdon,Robert,superior,m,3.0,309.0,6.8,8.8,8.5,8.8,8.3,8.5,8.7,8.7,8.4,8.5,8.8,8.7
5,Bracken,John,superior,m,11.0,387.0,7.3,6.4,4.3,6.5,6.0,6.2,5.7,5.7,5.1,5.3,5.5,4.8
6,Burns,Ellen,superior,f,3.0,278.0,6.2,8.8,8.7,8.5,7.9,8.0,8.1,8.0,8.0,8.0,8.6,8.6
7,Callahan,Robert,superior,m,6.0,251.0,10.6,9.0,8.9,8.7,8.5,8.5,8.5,8.5,8.6,8.4,9.1,9.0
8,Cohen,Simon,superior,m,15.0,325.0,7.0,5.9,4.9,5.1,5.4,5.9,4.8,5.1,4.7,4.9,6.8,5.0
9,Daly,John,superior,m,15.0,245.0,7.3,8.9,8.9,8.7,8.6,8.5,8.4,8.4,8.4,8.5,8.8,8.8
10,Dannehy,Joseph,superior,m,15.0,250.0,8.2,7.9,6.7,8.1,7.9,8.0,7.9,8.1,7.7,7.8,8.5,7.9
11,Dean,Harold,superior,m,7.0,333.0,7.0,8.0,7.6,7.4,7.3,7.5,7.1,7.2,7.1,7.2,8.4,7.7
12,DeVita,Henry,superior,m,11.0,263.0,6.5,8.0,7.6,7.2,7.0,7.1,6.9,7.0,7.0,7.1,6.9,7.2
13,Driscoll,Paul,superior,m,10.0,189.0,6.7,8.6,8.2,6.8,6.9,6.6,7.1,7.3,7.2,7.2,8.1,7.7
14,Grillo,Anthony,superior,m,11.0,317.0,7.0,7.5,6.4,6.8,6.5,7.0,6.6,6.8,6.3,6.6,6.2,6.5
15,Hadden,William,superior,m,2.0,156.0,6.5,8.1,8.0,8.0,7.9,8.0,7.9,7.8,7.8,7.8,8.4,8.0
16,Hamill,Edward,superior,m,15.0,255.0,7.3,8.0,7.4,7.7,7.3,7.3,7.3,7.2,7.1,7.2,8.0,7.6
17,Healey,Arthur,superior,m,15.0,228.0,8.0,7.6,6.6,7.2,6.5,6.5,6.8,6.7,6.4,6.5,6.9,6.7
18,Hull,Clark,superior,m,3.0,377.0,7.7,7.7,6.7,7.5,7.4,7.5,7.1,7.3,7.1,7.3,8.1,7.4
19,Levine,Irving,superior,m,15.0,282.0,8.3,8.2,7.4,7.8,7.7,7.7,7.7,7.8,7.5,7.6,8.0,8.0
20,Levister,Robert,superior,m,11.0,259.0,9.6,6.9,5.7,6.6,6.9,6.6,6.2,6.0,5.8,5.8,7.2,6.0
21,Martin,Luke,superior,m,15.0,264.0,7.1,8.2,7.7,7.1,6.6,6.6,6.7,6.7,6.8,6.8,7.5,7.3
22,McGrath,James,superior,m,11.0,228.0,7.6,7.3,6.9,6.8,6.7,6.8,6.4,6.3,6.3,6.3,7.4,6.6
23,Migone,A. Frederick,superior,m,11.0,311.0,6.6,7.4,6.2,6.2,5.4,5.7,5.8,5.9,5.2,5.8,4.7,5.2
24,Missal,Harold,superior,m,15.0,265.0,6.2,8.3,8.1,7.7,7.4,7.3,7.3,7.3,7.2,7.3,7.8,7.6
25,Mulvey,Harold,superior,m,8.0,299.0,7.5,8.7,8.5,8.6,8.5,8.4,8.5,8.5,8.4,8.4,8.7,8.7
26,Naruk,Henry,superior,m,11.0,452.0,7.8,8.9,8.7,8.9,8.7,8.8,8.9,9.0,8.8,8.9,9.0,9.0
27,O'Brien,Francis,superior,m,15.0,265.0,7.1,8.5,8.3,8.0,7.9,7.9,7.8,7.8,7.8,7.7,8.3,8.2
28,O'Sullivan,Thomas,superior,m,9.0,280.0,7.5,9.0,8.9,8.7,8.4,8.5,8.4,8.3,8.3,8.3,8.8,8.7
29,Parskey,Leo,superior,m,11.0,326.0,7.5,8.1,7.7,8.2,8.0,8.1,8.2,8.4,8.0,8.1,8.4,8.1
30,Rubinow,Jay,superior,m,15.0,345.0,7.1,9.2,9.0,9.0,8.4,8.6,9.1,9.1,8.9,9.0,8.9,9.2
31,Saden,George,superior,m,5.0,334.0,6.6,7.4,6.9,8.4,8.0,7.9,8.2,8.4,7.7,7.9,8.4,7.5
32,Satanielllo,Angelo,superior,m,11.0,288.0,8.4,8.0,7.9,7.9,7.8,7.8,7.6,7.4,7.4,7.4,8.1,7.9
33,Shea ,David,superior,m,10.0,353.0,6.9,8.5,7.8,8.5,8.1,8.2,8.4,8.5,8.1,8.3,8.7,8.3
34,Shea ,John ,superior,m,3.0,255.0,7.3,8.9,8.8,8.7,8.4,8.5,8.5,8.5,8.4,8.4,8.8,8.8
35,Sidor,Walter,superior,m,22.0,329.0,7.7,6.2,5.1,5.6,5.6,5.9,5.6,5.6,5.3,5.5,6.3,5.3
36,Speziale,John,superior,m,15.0,237.0,8.5,8.3,8.1,8.3,8.4,8.2,8.2,8.1,7.9,8.0,8.0,8.2
37,Sponzo,Maurice,superior,m,9.0,275.0,6.9,8.3,8.0,8.1,7.9,7.9,7.9,7.7,7.6,7.7,8.1,8.0
38,Stapleton,John,superior,m,3.0,255.0,6.5,8.2,7.7,7.8,7.6,7.7,7.7,7.7,7.5,7.6,8.5,7.7
39,Tedesco,Samuel,superior,m,10.0,176.0,9.7,8.1,8.6,8.6,8.8,8.5,8.3,8.3,8.3,8.2,8.6,8.0
40,Testo,Robert,superior,m,7.0,249.0,8.3,7.3,7.0,6.8,7.0,7.1,6.7,6.7,6.7,6.7,8.0,7.0
41,Tierney,William,superior,m,11.0,200.0,8.3,8.2,7.8,8.3,8.4,8.3,7.7,7.6,7.5,7.7,8.1,7.9
42,Wall,Robert,superior,m,18.0,279.0,9.0,7.0,5.9,7.0,7.0,7.2,6.9,6.9,6.5,6.6,7.6,6.6
42,Wright,Douglas,superior,m,15.0,329.0,7.1,8.4,8.4,7.7,7.5,7.7,7.8,8.2,8.0,8.1,8.3,8.1
44,Zarrilli,Kenneth,superior,m,5.0,229.0,8.6,7.4,7.0,7.5,7.5,7.7,7.4,7.2,6.9,7.0,7.8,7.1
45,  Adorno,Joseph,common,m,10.0,252.0,9.1,5.5,4.6,5.4,5.2,5.3,4.5,4.2,4.0,4.1,6.6,4.4
46,Allen,Francis,common,m,1.0,102.0,7.3,7.7,7.3,7.3,7.0,7.0,6.6,6.3,6.3,6.6,7.7,7.1
47,Armentano,Nicholas,common,m,15.0,221.0,8.6,6.1,5.0,5.8,5.8,5.8,5.2,5.1,4.9,5.0,6.3,5.2
48,Aspell,Mary,common,f,1.0,176.0,7.9,8.5,8.2,8.2,7.4,7.5,7.3,7.1,7.2,7.3,8.2,7.8
49,Belinkie,Milton,common,m,7.0,263.0,9.0,7.6,7.1,7.3,7.1,7.3,7.1,7.0,6.9,7.0,7.6,7.2
50,Bernstein,Simon,common,m,6.0,231.0,7.8,8.3,8.1,7.5,7.3,7.3,7.4,7.4,7.4,7.4,7.9,7.8
51,Bieluch,William,common,m,8.0,337.0,7.6,7.3,6.1,7.5,6.7,6.6,6.8,6.8,6.2,6.4,7.3,6.5
52,Brennan,John,common,m,0.5,45.0,4.3,na,na,na,na,na,na,na,na,na,na,na
53,Bromson,S. William,common,m,0.5,85.0,4.8,8.0,8.0,7.8,7.7,7.7,7.6,7.6,7.6,7.5,8.3,8.1
54,Celotto,Donald,common,m,2.0,187.0,8.5,7.5,7.2,7.0,6.9,7.0,6.8,6.5,6.6,6.6,7.6,6.8
